temp_C,K_T_Hz,f_star_hz,b_pk_T,waveform,p_v_W_m3,no_feasible_point,raw_optimum_vetoed,raw_f_hz,raw_b_pk_T,n_gate_pass,f_smooth_hz,p_v_smooth_W_m3,loss_penalty_pct
25.0,3000.0,127633,0.0235,sine,3956.4,False,False,127633,0.0235,176,127633.0,3956.4,0.0
25.0,5000.0,161361,0.031,sine,12355.5,False,False,161361,0.031,175,127633.0,12604.0,2.0112500505847564
25.0,8000.0,229378,0.0349,sine,35822.6,False,False,229378,0.0349,178,127633.0,39311.7,9.739940707821315
25.0,12000.0,339060,0.0354,sine,88455.3,False,False,339060,0.0354,176,138009.0,104738.5,18.408393844122383
25.0,20000.0,501190,0.0399,sine,261485.2,False,False,501190,0.0399,129,196183.0,311203.5,19.01381034184726
25.0,30000.0,501190,0.0599,sine,610809.1,False,False,501190,0.0599,70,248026.0,725338.4,18.750424641676112
25.0,40000.0,501190,0.0798,sine,1109604.8,False,False,501190,0.0798,35,366625.0,1196114.4,7.796433468925135
50.0,3000.0,118037,0.0254,sine,5266.4,False,False,118037,0.0254,161,118037.0,5266.4,0.0
50.0,5000.0,167792,0.0298,sine,16367.7,False,False,167792,0.0298,161,118037.0,16940.7,3.5007973020033445
50.0,8000.0,248026,0.0323,sine,46367.3,False,False,248026,0.0323,152,118037.0,52968.3,14.23632603149203
50.0,12000.0,501190,0.0239,sine,110458.0,False,False,501190,0.0239,139,143510.0,131326.5,18.892701298230996
50.0,20000.0,501190,0.0399,sine,319716.1,False,False,501190,0.0399,101,204002.0,380468.0,19.00182693333243
50.0,30000.0,501190,0.0599,sine,738118.7,False,False,501190,0.0599,69,248026.0,881409.4,19.412961627987492
50.0,40000.0,501190,0.0798,sine,1329173.9,False,False,501190,0.0798,44,301550.0,1532646.8,15.308222648669222
70.0,3000.0,122741,0.0244,sine,6887.5,False,False,122741,0.0244,143,122741.0,6887.5,0.0
70.0,5000.0,181433,0.0276,sine,21114.2,False,False,181433,0.0276,120,122741.0,21866.4,3.5625313769880096
70.0,8000.0,501190,0.016,sine,57523.6,False,False,501190,0.016,118,122741.0,66678.6,15.91520697591946
70.0,12000.0,501190,0.0239,sine,132632.9,False,False,501190,0.0239,107,155177.0,159080.1,19.940150596119068
70.0,20000.0,501190,0.0399,sine,380456.3,False,False,501190,0.0399,86,212132.0,455647.5,19.76342618061522
70.0,30000.0,501190,0.0599,sine,870541.4,False,False,501190,0.0599,61,257911.0,1033519.1,18.72141864821133
70.0,40000.0,428659,0.0933,sine,1615686.1,False,True,501190,0.0798,30,257911.0,1917006.0,18.64965601919828
90.0,3000.0,132720,0.0226,sine,9179.0,False,False,132720,0.0226,120,132720.0,9179.0,0.0
90.0,5000.0,501190,0.01,sine,26846.7,False,False,501190,0.01,120,132720.0,28564.5,6.39855177731341
90.0,8000.0,501190,0.016,sine,69514.4,False,False,501190,0.016,120,138009.0,83051.2,19.473375300657136
90.0,12000.0,501190,0.0239,sine,159786.4,False,False,501190,0.0239,107,181433.0,190644.1,19.311843811488338
90.0,20000.0,501190,0.0399,sine,454693.8,False,False,501190,0.0399,85,229378.0,543226.7,19.47088348246666
90.0,30000.0,501190,0.0599,sine,1031241.0,False,False,501190,0.0599,65,268189.0,1220987.0,18.3997727010466
90.0,40000.0,501190,0.0798,sine,1830906.0,False,False,501190,0.0798,34,301550.0,2129853.2,16.327828954626856
