temp_C,K_T_Hz,f_star_hz,b_pk_T,waveform,p_v_W_m3,no_feasible_point,raw_optimum_vetoed,raw_f_hz,raw_b_pk_T,n_gate_pass,f_smooth_hz,p_v_smooth_W_m3,loss_penalty_pct
25.0,3000.0,248026,0.0121,sine,3553.8,False,False,248026,0.0121,168,248026.0,3553.8,0.0
25.0,5000.0,248026,0.0202,triangle_20,12594.1,False,False,248026,0.0202,178,248026.0,13352.3,6.020279337149925
25.0,8000.0,248026,0.0323,triangle_20,37910.9,False,False,248026,0.0323,179,248026.0,40837.1,7.71862445892868
25.0,12000.0,248026,0.0484,sine,77245.9,False,False,248026,0.0484,176,248026.0,77245.9,0.0
25.0,20000.0,428659,0.0467,sine,288210.3,False,False,428659,0.0467,129,313568.0,342026.8,18.672649797734508
25.0,30000.0,248026,0.121,sine,591782.8,False,True,49960,0.6005,70,313568.0,650234.5,9.877221845582529
25.0,40000.0,313568,0.1276,triangle_20,1073632.2,False,True,49960,0.8006,35,313568.0,1073632.2,0.0
50.0,3000.0,248026,0.0121,sine,4087.3,False,False,248026,0.0121,165,248026.0,4087.3,0.0
50.0,5000.0,445743,0.0112,sine,16053.3,False,False,445743,0.0112,180,248026.0,18178.1,13.235907881868524
50.0,8000.0,428659,0.0187,sine,49028.4,False,False,428659,0.0187,172,248026.0,52233.7,6.537639408995588
50.0,12000.0,248026,0.0484,sine,95499.3,False,False,248026,0.0484,171,248026.0,95499.3,0.0
50.0,20000.0,428659,0.0467,sine,335273.4,False,False,428659,0.0467,124,396431.0,396240.8,18.18438325259324
50.0,30000.0,248026,0.121,sine,680912.2,False,True,49960,0.6005,69,313568.0,772529.9,13.455141499887958
50.0,40000.0,313568,0.1276,triangle_20,1342685.2,False,True,49960,0.8006,44,313568.0,1452438.8,8.174187069314542
70.0,3000.0,248026,0.0121,sine,5062.7,False,False,248026,0.0121,164,248026.0,5062.7,0.0
70.0,5000.0,445743,0.0112,sine,19916.8,False,False,445743,0.0112,180,248026.0,23222.5,16.597545790488443
70.0,8000.0,212132,0.0377,sine,60841.6,False,False,212132,0.0377,164,248026.0,63648.9,4.614112712354701
70.0,12000.0,248026,0.0484,sine,117626.6,False,False,248026,0.0484,151,248026.0,117626.6,0.0
70.0,20000.0,428659,0.0467,sine,394924.5,False,True,49960,0.4003,113,396431.0,453658.6,14.872235072779727
70.0,30000.0,248026,0.121,sine,781309.4,False,True,49960,0.6005,61,501190.0,901564.8,15.39152095187899
70.0,40000.0,428659,0.0933,sine,1607381.9,False,True,49960,0.8006,30,445743.0,1617966.0,0.6584682831130673
90.0,3000.0,97086,0.0309,sine,6790.1,False,False,97086,0.0309,143,97086.0,6790.1,0.0
90.0,5000.0,445743,0.0112,sine,23599.9,False,False,445743,0.0112,162,204002.0,28083.1,18.996690663943472
90.0,8000.0,428659,0.0187,sine,72935.9,False,False,428659,0.0187,157,204002.0,77388.4,6.104675475314636
90.0,12000.0,248026,0.0484,sine,143210.8,False,False,248026,0.0484,125,248026.0,143210.8,0.0
90.0,20000.0,428659,0.0467,sine,487047.1,False,True,49960,0.4003,101,396431.0,562820.1,15.557632927082409
90.0,30000.0,248026,0.121,sine,943831.4,False,True,49960,0.6005,65,313568.0,1112974.5,17.920901974653525
90.0,40000.0,445743,0.0897,triangle_20,1874712.4,False,True,49960,0.8006,34,313568.0,2096374.7,11.823802947054718
